player,team,stat_type,prizepicks_line,over_odds_ud,under_odds_ud,dk_odds_over,dk_odds_under,max_edge,suggestion,Actual_HRR,Result
ketel marte,AZ,Hits+Runs+RBIs,2.5,-104,-132,+105,−140,0.012,UNDER,2.0,HIT
jung hoo lee,SF,Hits+Runs+RBIs,1.5,-108,-125,+105,−140,0.007,UNDER,6.0,MISS
heliot ramos,SF,Hits+Runs+RBIs,1.5,-134,-102,−130,−105,0.004,OVER,0.0,MISS
maikel garcia,KC,Hits+Runs+RBIs,1.5,-134,-103,−130,−105,0.004,OVER,0.0,MISS
nick castellanos,PHI,Hits+Runs+RBIs,1.5,-125,-108,−135,+100,0.002,OVER,3.0,HIT
alec bohm,PHI,Hits+Runs+RBIs,1.5,-134,-102,−120,−110,-0.003,OVER,1.0,MISS
freddie freeman,LAD,Hits+Runs+RBIs,1.5,-130,-105,−125,−110,-0.004,OVER,0.0,MISS
will smith,LAD,Hits+Runs+RBIs,1.5,-105,-130,−110,−125,-0.004,UNDER,4.0,MISS
mark vientos,NYM,Hits+Runs+RBIs,1.5,-130,-105,−125,−110,-0.004,OVER,5.0,HIT
jo adell,LAA,Hits+Runs+RBIs,1.5,-125,-108,−125,−105,-0.005,OVER,0.0,MISS
tyler soderstrom,ATH,Hits+Runs+RBIs,1.5,-134,-102,−120,−115,-0.006,OVER,4.0,HIT
kyle schwarber,PHI,Hits+Runs+RBIs,1.5,-129,-106,−120,−110,-0.007,OVER,3.0,HIT
josh naylor,AZ,Hits+Runs+RBIs,1.5,-121,-113,−130,−105,-0.008,OVER,2.0,HIT
eugenio suarez,AZ,Hits+Runs+RBIs,1.5,-129,-105,−120,−115,-0.009,OVER,,
j.t. realmuto,PHI,Hits+Runs+RBIs,1.5,-109,-124,−110,−125,-0.009,UNDER,1.0,HIT
luis arraez,SD,Hits+Runs+RBIs,1.5,-125,-109,−125,−110,-0.009,OVER,,
willy adames,SF,Hits+Runs+RBIs,1.5,-108,-127,−115,−120,-0.012,UNDER,7.0,MISS
rafael devers,SF,Hits+Runs+RBIs,1.5,-118,-114,−105,−130,-0.013,UNDER,1.0,HIT
taylor ward,LAA,Hits+Runs+RBIs,1.5,-108,-125,−115,−120,-0.013,UNDER,1.0,HIT
nolan schanuel,LAA,Hits+Runs+RBIs,1.5,-110,-124,−115,−120,-0.014,UNDER,4.0,MISS
miguel andujar,ATH,Hits+Runs+RBIs,1.5,-112,-122,−110,−120,-0.014,UNDER,0.0,HIT
salvador perez,KC,Hits+Runs+RBIs,1.5,-120,-113,−120,−110,-0.015,OVER,3.0,HIT
jonathan india,KC,Hits+Runs+RBIs,1.5,-121,-113,−120,−110,-0.015,OVER,3.0,HIT
will wagner,TOR,Hits+Runs+RBIs,1.5,-114,-120,−110,−120,-0.016,UNDER,3.0,MISS
fernando tatis,SD,Hits+Runs+RBIs,1.5,-124,-109,−115,−115,-0.016,OVER,3.0,HIT
manny machado,SD,Hits+Runs+RBIs,1.5,-121,-113,−120,−115,-0.017,OVER,3.0,HIT
geraldo perdomo,AZ,Hits+Runs+RBIs,1.5,-117,-115,−120,−110,-0.018,OVER,1.0,MISS
matt chapman,SF,Hits+Runs+RBIs,1.5,-122,-110,−110,−125,-0.022,UNDER,3.0,MISS
ronny mauricio,NYM,Hits+Runs+RBIs,1.5,-114,-120,−120,−110,-0.022,OVER,0.0,MISS
randal grichuk,AZ,Hits+Runs+RBIs,1.5,-118,-114,−115,−120,-0.023,UNDER,8.0,MISS
SUMMARY: 14/28 - 50.0%,,,,,,,,,,,"HITS: 14, MISSES: 14, PUSHES: 0"
